190000,Architect,Construction
190500,Bricklayer - Apprentice,Construction
190510,Bricklayer - Journeyperson,Construction
190600,Carpenter - Apprentice,Construction
190610,Carpenter - Journeyperson,Construction
190800,Concrete Finisher,Construction
192000,Construction Manager,Construction
191500,Construction Superintendent,Construction
191510,Construction Superintendent - Assistant,Construction
191000,Construction Supervisor,Construction
191600,Crane Operator,Construction
192110,Design & Construction Director,Construction
191900,Electrician - Apprentice,Construction
191910,Electrician - Journeyperson,Construction
192300,Equipment Operator - Heavy,Construction
192310,Equipment Operator - Light,Construction
192400,Estimating Manager,Construction
192500,Estimator I,Construction
192510,Estimator II (Senior),Construction
193000,General Construction Worker,Construction
194490,Pipefitter - Apprentice,Construction
194500,Pipefitter - Journeyperson,Construction
195000,Project Engineer - Construction,Construction
196000,Project Manager - Construction,Construction
196500,Property & Land Acquisition Officer,Construction
197000,Survey Chief,Construction
197300,Surveyor,Construction
030100,Applications Engineer I,Engineering
030200,Applications Engineer II (Senior),Engineering
030150,Applications Engineer III (Lead),Engineering
030260,Applications Engineering Director,Engineering
030250,Applications Engineering Manager,Engineering
030290,Automation Director,Engineering
031000,CAD Designer I,Engineering
031200,CAD Designer II (Senior),Engineering
030500,CAD Draftsperson,Engineering
031350,CAD Manager,Engineering
031300,CAD Supervisor,Engineering
031500,Chemical Engineer I,Engineering
031600,Chemical Engineer II (Senior),Engineering
031700,Chemical Engineer III (Lead),Engineering
031750,Chemical Engineering Manager,Engineering
031900,Civil Engineer I,Engineering
032000,Civil Engineer II (Senior),Engineering
031910,Civil Engineer III (Lead),Engineering
032010,Civil Engineering Manager,Engineering
032100,Design Engineer I,Engineering
032200,Design Engineer II (Senior),Engineering
032250,Design Engineer III (Lead),Engineering
032300,Design Manager,Engineering
032400,Electrical Engineer I,Engineering
032500,Electrical Engineer II (Senior),Engineering
032600,Electrical Engineer III (Lead),Engineering
032800,Electrical Engineering Manager,Engineering
033500,Engineering Director,Engineering
033600,Engineering Manager,Engineering
033700,Engineering Supervisor,Engineering
033800,Engineering Technician,Engineering
036000,Industrial Engineer I,Engineering
036200,Industrial Engineer II (Senior),Engineering
036300,Industrial Engineer III (Lead),Engineering
036250,Industrial Engineering Manager,Engineering
037500,Manufacturing Engineer I,Engineering
037600,Manufacturing Engineer II (Senior),Engineering
037550,Manufacturing Engineer III (Lead),Engineering
037650,Manufacturing Engineering Manager,Engineering
037800,Mechanical Engineer I,Engineering
038000,Mechanical Engineer II (Senior),Engineering
038100,Mechanical Engineer III (Lead),Engineering
038200,Mechanical Engineering Manager,Engineering
038400,Packaging Engineer,Engineering
038900,Plant Engineer,Engineering
046500,Plant Engineering Manager,Engineering
038600,Process Engineer I,Engineering
038610,Process Engineer II (Senior),Engineering
038620,Process Engineer III (Lead),Engineering
038630,Process Engineering Manager,Engineering
038640,Product Designer,Engineering
038660,Product Engineering I,Engineering
038670,Product Engineer II (Senior),Engineering
038680,Product Engineer III (Lead),Engineering
038800,Quality Control Engineer I,Engineering
038810,Quality Control Engineer II (Senior),Engineering
038820,Quality Control Engineer III (Lead),Engineering
039800,Systems Engineer I,Engineering
039820,Systems Engineer II (Senior),Engineering
039810,Systems Engineer III (Lead),Engineering
039830,Systems Engineering Manager,Engineering
039850,Test Engineer I,Engineering
039860,Test Engineer II (Senior),Engineering
